provinsi,population_density,tahun,population,is_extrapolated
Sumatera Utara,193.8,2016,14126582,True
Sumatera Utara,196.0,2017,14291863,True
Sumatera Utara,198.3,2018,14459078,True
Sumatera Utara,200.7,2019,14628249,True
Sumatera Utara,203.0,2020,14799400,False
Sumatera Utara,205.0,2021,14936200,False
Sumatera Utara,209.0,2022,15115200,False
Sumatera Utara,212.0,2023,15386600,False
Sumatera Utara,215.0,2024,15588500,False
Sumatera Utara,218.0,2025,15785800,False
Sumatera Utara,221.0,2026,15978600,False
