provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Jambi,2023,7432.0,False,3679200.0,75.0,False,202.0,4.24,Sumatera,Sumatera Bagian Tengah,5,16,0.4854178497,-0.394550586,-0.2533746345,0.0385332008
Jambi,2024,7592.0,False,3724300.0,76.0,False,203.9,4.465,Sumatera,Sumatera Bagian Tengah,5,16,0.5073253185,-0.3904583865,-0.252998555,0.3151508493
Jawa Barat,2015,27805.0,False,45546639.0,1287.9,True,61.0,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.1403469422,3.4043387801,0.2027722302,1.406253796
Jawa Barat,2016,29351.0,False,46079535.0,1302.9,True,63.7,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.1092152759,3.4526917006,0.2084134232,1.406253796
Jawa Barat,2017,25183.0,False,46618665.0,1318.2,True,54.0,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.2210586694,3.5016102701,0.21416744,1.406253796
Jawa Barat,2018,16209.0,False,47164104.0,1333.6,True,34.4,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.4470515057,3.5511012938,0.2199590648,1.406253796
Jawa Barat,2019,13145.0,False,47715924.0,1349.2,True,27.5,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.5266102083,3.6011713047,0.2258259055,1.406253796
Jawa Barat,2020,11256.0,False,48274200.0,1365.0,False,23.3,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.5750372447,3.6518271082,0.2317679621,1.406253796
Jawa Barat,2021,7502.0,False,48782400.0,1379.0,False,15.4,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.666126194,3.6979392092,0.2370330756,1.406253796
Jawa Barat,2022,29485.0,False,49405800.0,1334.0,False,59.7,5.3525,Jawa,Jawa Bagian Barat,1,1,-1.155336263,3.7545041123,0.2201094966,1.406253796
Jawa Barat,2023,45694.0,False,49860300.0,1346.0,False,91.6,5.3525,Jawa,Jawa Bagian Barat,1,1,-0.7875213916,3.7957436831,0.224622451,1.406253796
Jawa Barat,2024,37636.0,False,50345200.0,1359.0,False,74.8,6.83,Jawa,Jawa Bagian Barat,1,1,-0.981229537,3.8397416323,0.2295114849,3.2227096875
Jawa Tengah,2015,15958.0,False,34452794.0,1050.1,True,46.3,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.3098415694,2.3977262238,0.1133405174,1.406253796
Jawa Tengah,2016,14353.0,False,34855892.0,1062.4,True,41.2,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.3686458278,2.4343017761,0.1179662957,1.406253796
Jawa Tengah,2017,12033.0,False,35263706.0,1074.8,True,34.1,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.4505105798,2.47130524,0.1226296819,1.406253796
Jawa Tengah,2018,9127.0,False,35676291.0,1087.4,True,25.6,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.5485176771,2.508741606,0.127368284,1.406253796
Jawa Tengah,2019,10317.0,False,36093704.0,1100.1,True,28.6,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.5139269369,2.546616046,0.132144494,1.406253796
Jawa Tengah,2020,10712.0,False,36516000.0,1113.0,False,29.3,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.5058557642,2.5849335505,0.13699592,1.406253796
Jawa Tengah,2021,8909.0,False,36742500.0,1120.0,False,24.2,5.3525,Jawa,Jawa Bagian Tengah,1,2,-1.5646600226,2.6054852839,0.1396284767,1.406253796
Jawa Tengah,2022,30060.0,False,37032400.0,1078.0,False,81.2,5.3525,Jawa,Jawa Bagian Tengah,1,2,-0.9074359578,2.6317896878,0.1238331364,1.406253796
Jawa Tengah,2023,42304.0,False,37541000.0,1093.0,False,112.7,5.3525,Jawa,Jawa Bagian Tengah,1,2,-0.5442331852,2.6779380832,0.1294743294,1.406253796
Jawa Tengah,2024,41460.0,False,37892300.0,1104.0,False,109.4,4.585,Jawa,Jawa Bagian Tengah,1,2,-0.5822829994,2.7098136855,0.1336112042,0.4626802618
Jawa Timur,2015,27394.0,False,38368030.0,802.9,True,71.4,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.020432376,2.7529795844,0.020373657,1.406253796
Jawa Timur,2016,5437.0,False,38816936.0,812.3,True,14.0,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.6822685395,2.7937115773,0.0239088046,1.406253796
Jawa Timur,2017,28902.0,False,39271094.0,821.8,True,73.6,5.3525,Jawa,Jawa Bagian Timur,1,3,-0.9950658331,2.8349201164,0.0274815602,1.406253796
Jawa Timur,2018,26295.0,False,39730566.0,831.4,True,66.2,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.0803896591,2.8766108273,0.0310919237,1.406253796
Jawa Timur,2019,26985.0,False,40195414.0,841.2,True,67.1,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.070012437,2.9187893356,0.0347775031,1.406253796
Jawa Timur,2020,17642.0,False,40665700.0,851.0,False,43.4,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.343279285,2.961461267,0.0384630825,1.406253796
Jawa Timur,2021,19257.0,False,40878800.0,855.0,False,47.1,5.3525,Jawa,Jawa Bagian Timur,1,3,-1.300617372,2.9807971362,0.0399674007,1.406253796
Jawa Timur,2022,51905.0,False,41150000.0,857.0,False,126.1,5.3525,Jawa,Jawa Bagian Timur,1,3,-0.3897278787,3.0054047745,0.0407195597,1.406253796
Jawa Timur,2023,66741.0,False,41527900.0,865.0,False,160.7,5.3525,Jawa,Jawa Bagian Timur,1,3,0.0092186589,3.0396939579,0.043728196,1.406253796
Jawa Timur,2024,60102.0,False,41814500.0,870.0,False,143.7,3.965,Jawa,Jawa Bagian Timur,1,3,-0.1867955359,3.0656989326,0.0456085937,-0.2995550362
Kalimantan Barat,2015,6669.0,False,5108479.0,34.9,True,130.5,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.338994793,-0.2648633415,-0.2684554238,-0.2012020945
Kalimantan Barat,2016,7311.0,False,5168248.0,35.3,True,141.5,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.2121620788,-0.2594401338,-0.268304992,-0.2012020945
Kalimantan Barat,2017,6020.0,False,5228716.0,35.7,True,115.1,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.516560593,-0.2539535015,-0.2681545601,-0.2012020945
Kalimantan Barat,2018,5814.0,False,5289892.0,36.1,True,109.9,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.5765178761,-0.2484026281,-0.2680041283,-0.2012020945
Kalimantan Barat,2019,4721.0,False,5351784.0,36.6,True,88.2,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.8267242306,-0.2427867876,-0.2678160886,-0.2012020945
Kalimantan Barat,2020,3858.0,False,5414400.0,37.0,False,71.3,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-1.0215854006,-0.2371052541,-0.2676656567,-0.2012020945
Kalimantan Barat,2021,4048.0,False,5470800.0,37.0,False,74.0,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.9904537344,-0.2319877364,-0.2676656567,-0.2012020945
Kalimantan Barat,2022,3975.0,False,5541400.0,38.0,False,71.7,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-1.0169733019,-0.2255817656,-0.2672895772,-0.2012020945
Kalimantan Barat,2023,6028.0,False,5623300.0,38.0,False,107.2,4.045,Kalimantan,Kalimantan Bagian Barat,2,4,-0.6076495423,-0.2181504766,-0.2672895772,-0.2012020945
Kalimantan Barat,2024,6246.0,False,5695500.0,39.0,False,109.7,4.53,Kalimantan,Kalimantan Bagian Barat,2,4,-0.5788239254,-0.2115993281,-0.2669134977,0.3950626144
Kalimantan Selatan,2015,6809.0,False,3843436.0,99.1,True,177.2,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,0.1994677302,-0.379648447,-0.2443111178,-0.2012020945
Kalimantan Selatan,2016,3712.0,False,3888404.0,100.2,True,95.5,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.7425534293,-0.3755682247,-0.2438974303,-0.2012020945
Kalimantan Selatan,2017,6578.0,False,3933898.0,101.4,True,167.2,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,0.0841652627,-0.3714402752,-0.2434461349,-0.2012020945
Kalimantan Selatan,2018,2667.0,False,3979925.0,102.6,True,67.0,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-1.0711654617,-0.3672639634,-0.2429948394,-0.2012020945
Kalimantan Selatan,2019,5375.0,False,4026490.0,103.8,True,133.5,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.3044040528,-0.3630388355,-0.242543544,-0.2012020945
Kalimantan Selatan,2020,5206.0,False,4073600.0,105.0,False,127.8,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.3701264592,-0.3587642565,-0.2420922485,-0.2012020945
Kalimantan Selatan,2021,4973.0,False,4122600.0,106.0,False,120.6,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.4531442358,-0.3543181861,-0.241716169,-0.2012020945
Kalimantan Selatan,2022,5016.0,False,4182100.0,113.0,False,119.9,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.4612154086,-0.3489193864,-0.2390836123,-0.2012020945
Kalimantan Selatan,2023,6375.0,False,4222300.0,114.0,False,151.0,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.1026247346,-0.345271794,-0.2387075328,-0.2012020945
