provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled,crime_rate_lag1,crime_rate_lag2,crime_rate_ma3,crime_rate_yoy_abs,crime_rate_yoy_change,trend_direction,trend_direction_enc,unemp_x_density,crime_per_density,danger_level,danger_level_enc
Sulawesi Selatan,2018,21498.0,False,8864849.0,189.5,True,242.5,3.1224999999999996,Sulawesi,Sulawesi Bagian Selatan,4,12,0.952392843,0.0759751331,-0.2103135281,-1.3353344532,246.7,174.0,221.1,-4.2,-1.7,Stabil,0.0,591.71,1.2797,Tinggi,2
Sulawesi Selatan,2019,16008.0,False,8968568.0,191.8,True,178.5,3.1224999999999996,Sulawesi,Sulawesi Bagian Selatan,4,12,0.214457051,0.0853861938,-0.2094485451,-1.3353344532,242.5,246.7,222.6,-64.0,-26.39,Turun,-1.0,598.9,0.9307,Sedang,1
Sulawesi Selatan,2020,12815.0,False,9073500.0,194.0,False,141.2,3.1224999999999996,Sulawesi,Sulawesi Bagian Selatan,4,12,-0.2156211528,0.0949073173,-0.2086211702,-1.3353344532,178.5,242.5,187.4,-37.3,-20.9,Turun,-1.0,605.76,0.7278,Sedang,1
Sulawesi Selatan,2021,14636.0,False,9139500.0,196.0,False,160.1,3.1224999999999996,Sulawesi,Sulawesi Bagian Selatan,4,12,0.0023005108,0.1008959018,-0.2078690111,-1.3353344532,141.2,178.5,159.9,18.9,13.39,Naik,1.0,612.01,0.8168,Sedang,1
Sulawesi Tengah,2015,8988.0,False,2817004.0,45.3,True,319.1,3.1224999999999996,Sulawesi,Sulawesi Bagian Tengah,4,13,1.8356097441,-0.4727829138,-0.2645441966,-1.3353344532,,,,,,,,141.45,7.0442,Tinggi,2
Sulawesi Tengah,2016,9602.0,False,2849963.0,45.8,True,336.9,3.1224999999999996,Sulawesi,Sulawesi Bagian Tengah,4,13,2.0408481363,-0.4697923418,-0.2643561569,-1.3353344532,319.1,,328.0,17.8,5.58,Naik,1.0,143.01,7.3559,Tinggi,2
Sulawesi Tengah,2017,10240.0,False,2883307.0,46.4,True,355.1,3.1224999999999996,Sulawesi,Sulawesi Bagian Tengah,4,13,2.2506986272,-0.4667668363,-0.2641305091,-1.3353344532,336.9,319.1,337.0,18.2,5.4,Naik,1.0,144.88,7.653,Berbahaya,3
Sulawesi Tengah,2018,9379.0,False,2917042.0,46.9,True,321.5,3.1224999999999996,Sulawesi,Sulawesi Bagian Tengah,4,13,1.8632823363,-0.4637058529,-0.2639424694,-1.3353344532,355.1,336.9,337.8,-33.6,-9.46,Turun,-1.0,146.45,6.855,Tinggi,2
Sulawesi Tengah,2019,6265.0,False,2951171.0,47.4,True,212.3,3.1224999999999996,Sulawesi,Sulawesi Bagian Tengah,4,13,0.6041793912,-0.4606091196,-0.2637544296,-1.3353344532,321.5,355.1,296.3,-109.2,-33.97,Turun,-1.0,148.01,4.4789,Tinggi,2
Sulawesi Tengah,2020,5454.0,False,2985700.0,48.0,False,182.7,3.1224999999999996,Sulawesi,Sulawesi Bagian Tengah,4,13,0.2628840874,-0.4574760917,-0.2635287819,-1.3353344532,212.3,321.5,238.8,-29.6,-13.94,Turun,-1.0,149.88,3.8062,Sedang,1
