provinsi,tahun,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Kepulauan Riau,2015,Sumatera,Sumatera Bagian Tengah,5,16,1.0710564787452679,-0.5468237699937577,-0.1927839275087299,0.03853320081148591
Kepulauan Riau,2016,Sumatera,Sumatera Bagian Tengah,5,16,1.0339079600744805,-0.5447588080714199,-0.19176834506237977,0.03853320081148591
Kepulauan Riau,2017,Sumatera,Sumatera Bagian Tengah,5,16,0.2944202602841155,-0.542669654808936,-0.19067753428667036,0.03853320081148591
Kepulauan Riau,2018,Sumatera,Sumatera Bagian Tengah,5,16,0.11796479659787469,-0.540556128997766,-0.1896243376756406,0.03853320081148591
Kepulauan Riau,2019,Sumatera,Sumatera Bagian Tengah,5,16,-0.046881755003744974,-0.5384177776165585,-0.18853352689993116,0.03853320081148591
Kepulauan Riau,2020,Sumatera,Sumatera Bagian Tengah,5,16,-0.24539415165076628,-0.5362545100610436,-0.18744271612422178,0.03853320081148591
Kepulauan Riau,2021,Sumatera,Sumatera Bagian Tengah,5,16,-0.4845377405939611,-0.5313981211778304,-0.1851858662434437,0.03853320081148591
Kepulauan Riau,2022,Sumatera,Sumatera Bagian Tengah,5,16,-0.05500799346297995,-0.5258168981329434,-0.18292901636266562,0.03853320081148591
Kepulauan Riau,2023,Sumatera,Sumatera Bagian Tengah,5,16,0.8922792326421027,-0.5282813342826338,-0.18443358294985102,0.03853320081148591
Kepulauan Riau,2024,Sumatera,Sumatera Bagian Tengah,5,16,0.9712198348175265,-0.5254997831872112,-0.18292901636266562,0.03853320081148591
Lampung,2015,Sumatera,Sumatera Bagian Selatan,5,15,-0.5843743845217027,0.04671565311543887,-0.1899628651577573,0.03853320081148591
Lampung,2016,Sumatera,Sumatera Bagian Selatan,5,15,-0.4288149625877796,0.05572506993223138,-0.1888720543820479,0.03853320081148591
Lampung,2017,Sumatera,Sumatera Bagian Selatan,5,15,-0.36380505491390147,0.06483985951527718,-0.1877812436063385,0.03853320081148591
Lampung,2018,Sumatera,Sumatera Bagian Selatan,5,15,-0.6621540954886641,0.07406129032435922,-0.18669043283062908,0.03853320081148591
Lampung,2019,Sumatera,Sumatera Bagian Selatan,5,15,-0.7318075679963908,0.08339063081926042,-0.18556200789024005,0.03853320081148591
Lampung,2020,Sumatera,Sumatera Bagian Selatan,5,15,-0.8653100569695336,0.09282905885549349,-0.18443358294985102,0.03853320081148591
Lampung,2021,Sumatera,Sumatera Bagian Selatan,5,15,-0.5959832966063238,0.0995337748509745,-0.18368129965625832,0.03853320081148591
Lampung,2022,Sumatera,Sumatera Bagian Selatan,5,15,-0.4497110043400978,0.10812305966680692,-0.1795437415414985,0.03853320081148591
Lampung,2023,Sumatera,Sumatera Bagian Selatan,5,15,0.22592767898485117,0.1205720863935514,-0.17803917495431312,0.03853320081148591
Lampung,2024,Sumatera,Sumatera Bagian Selatan,5,15,0.15859598889404858,0.13013989732764322,-0.17653460836712773,-0.06596679971733198
Maluku,2015,Maluku Papua,Maluku,3,8,-0.5971441878147857,-0.5652628262325731,-0.2683883985147956,1.0527979118264836
Maluku,2016,Maluku Papua,Maluku,3,8,-0.16064909343303202,-0.5634136836818734,-0.268237941856077,1.0527979118264836
Maluku,2017,Maluku Papua,Maluku,3,8,0.16207866251943506,-0.5615427961063236,-0.26804987103267885,1.0527979118264836
Maluku,2018,Maluku Papua,Maluku,3,8,-0.07590403521529776,-0.5596500729016534,-0.26789941437396037,1.0527979118264836
